,mass_density,ratio_oxygen_by_transition_metal_atom,ratio_atoms_cell_by_cell_vol,electronic_energy_band_gap,energy_atom,space_group,point_group,c_by_a_ratio,AGL_thermal_conductivity
174,5.53578,0.3,0.042129506,0.0,-6.3173699999999995,37,6,0.430326804,3.21651
175,5.6416699999999995,1.5,0.052139205999999994,3.5256,-8.15204,42,6,1.0,1.46822
176,6.45258,3.0,0.08033832099999999,0.0,-7.866569999999999,45,7,1.0,9.489419999999999
177,6.93722,2.0,0.072783779,0.0,-6.491630000000001,21,4,0.847954037,8.62143
178,6.08968,3.0,0.078092665,0.0,-7.984389999999999,45,7,1.0,3.68015
179,5.53298,1.0,0.048732468,2.9693,-7.73897,32,3,1.711109055,7.934239999999999
180,6.21099,1.0,0.042755507000000005,1.9022,-7.37628,26,4,1.0,5.815
181,4.59725,1.5,0.04248702,1.6,-7.90985,36,1,0.520701764,3.83825
182,4.52769,4.0,0.069950452,5.3868,-7.95741,28,4,1.0,4.44492
183,3.84544,4.0,0.059410057999999995,5.2512,-7.97951,33,3,0.8911873859999999,5.405390000000001
184,6.663410000000001,2.33,0.062199955999999994,3.6497,-8.62557,14,2,0.580622438,6.99383
185,7.14268,2.5,0.06784465099999999,1.8389,-6.5538,15,2,0.839451388,2.4439599999999997
186,5.78322,3.0,0.063136495,4.5627,-8.603069999999999,3,0,1.4453338180000002,3.70853
187,6.30751,3.5,0.06661983099999999,2.0853,-7.0620899999999995,48,7,1.0,3.44149
188,5.40576,3.5,0.07374211,3.2676,-8.17553,48,7,1.0,5.5652099999999995
189,5.783580000000001,3.5,0.066950904,3.7972,-8.960139999999999,48,7,1.0,5.3516699999999995
190,5.8882699999999994,1.0,0.045541110999999995,1.4444,-7.21432,5,0,1.232472113,3.2937
191,6.1641,1.5,0.056967505999999994,3.4389,-8.124989999999999,0,0,1.2100397520000001,2.90735
192,5.56259,2.0,0.101629502,1.6572,-7.4840100000000005,39,6,3.5958292419999998,17.7999
193,3.50435,2.0,0.088597502,0.0,-7.388489999999999,48,7,1.0,11.1979
194,3.91664,2.0,0.095535099,0.0,-7.412739999999999,48,7,1.0,9.36389
195,4.01866,2.0,0.10311670199999999,1.9902,-6.60912,28,4,1.0,5.61154
196,5.94794,2.0,0.10100946300000001,2.3816,-5.39371,48,7,1.0,3.72076
197,7.50559,3.0,0.084363268,3.0629,-8.64364,24,4,1.944625628,8.94536
198,2.8223700000000003,3.0,0.068955055,2.7076,-7.217219999999999,4,0,0.916796376,4.55773
199,2.82789,3.0,0.069089879,0.0,-6.9524,14,2,0.916087049,2.32607
200,6.02846,2.0,0.08640535199999999,2.1913,-5.7353,48,7,1.0,3.7713900000000002
201,5.505669999999999,1.83,0.08223718,0.489,-7.98492,32,3,1.236080788,6.827789999999999
202,4.60609,2.0,0.08394795199999999,1.5203,-5.96357,48,7,1.0,4.6405400000000006
203,3.58296,1.33,0.098446514,2.2626,-6.255,47,7,1.0,9.92072
204,5.93715,1.33,0.10023187,1.8891,-5.42017,47,7,1.0,5.80313
205,5.11069,1.0,0.086773166,2.6192,-7.813680000000001,47,7,1.0,13.3183
206,5.38267,3.0,0.08505412,0.0,-6.81705,45,7,1.0,6.37594
207,4.00704,2.0,0.087807394,3.2672,-6.3375699999999995,10,2,2.193509674,7.761539999999999
208,8.09908,1.5,0.086370579,0.0,-7.66785,37,6,0.6232972379999999,7.0869
209,4.88724,3.0,0.076707705,0.0,-8.35056,39,6,3.1570752619999998,5.5597199999999996
210,5.88515,1.83,0.078911962,0.4695,-8.54476,32,3,1.2577461840000002,4.85083
211,5.07482,2.5,0.07533335,1.8335,-6.964230000000001,7,2,2.852211107,3.34065
212,5.14059,3.0,0.08122883,0.8325,-6.85505,39,6,1.676641953,3.19101
213,5.67964,3.5,0.080846982,0.0,-6.77106,48,7,1.0,3.66526
214,8.15424,3.5,0.08565744,0.0,-5.97745,48,7,1.0,1.8611900000000001
215,5.22444,3.5,0.086589969,0.8556,-8.10328,48,7,1.0,4.7413
216,3.4773,2.0,0.071186682,4.28,-6.39731,48,7,1.0,7.640039999999999
217,5.9046400000000006,2.0,0.083380235,0.0,-7.92667,24,4,0.685631691,12.0956
218,2.8443,3.0,0.08437809800000001,3.2388,-5.96572,41,6,1.0,1.67057
219,4.29332,3.0,0.078876919,1.8358,-7.484610000000001,45,7,1.0,19.219
220,6.5580300000000005,3.0,0.078379857,2.5031,-7.94003,45,7,1.0,17.7321
221,6.9798100000000005,3.0,0.08247069,0.0,-7.459219999999999,45,7,1.0,13.6807
222,4.42281,3.0,0.081255891,1.8633,-7.495480000000001,22,4,0.719700711,18.5039
223,6.731160000000001,3.0,0.080449228,2.5252,-7.95074,22,4,0.7175119320000001,17.8237
224,3.7680800000000003,1.0,0.083017865,2.3481,-4.28594,4,0,1.571031826,2.61306
225,4.93288,2.0,0.070771408,4.9017,-6.8694,48,7,1.0,6.665019999999999
226,5.612,3.0,0.07394437,0.0,-7.8638699999999995,45,7,1.0,11.4654
227,5.72086,2.0,0.082747093,0.0,-8.70602,24,4,0.583606084,15.7693
228,7.05532,1.0,0.078027263,0.0,-8.77171,45,7,1.0,24.5568
229,5.72543,3.5,0.070867156,1.0459,-7.50126,48,7,1.0,7.65128
230,6.10834,1.6,0.075094455,0.0,-8.22977,21,4,2.90448025,8.167019999999999
231,6.85676,1.25,0.082287971,0.0,-8.72419,25,4,0.719053513,8.71805
232,5.5622,3.0,0.08683068,3.6269,-7.76513,11,2,2.8150849730000003,4.53052
233,6.56005,1.0,0.10578596300000001,2.2231,-4.9600599999999995,47,7,1.0,21.5631
234,6.3481,3.0,0.08640718900000001,0.8785,-5.918740000000001,24,4,1.985710642,4.6334599999999995
235,8.11914,3.0,0.085185325,2.8841,-8.39283,24,4,1.9270627630000001,7.289569999999999
236,7.1175,3.0,0.061522182,0.0,-7.76733,13,2,1.541801314,6.3661
237,5.20179,2.0,0.104686986,3.2679,-6.24257,48,7,1.0,8.1989
238,7.7317100000000005,2.5,0.07375758,0.4338,-9.01481,6,2,2.102756138,39.2307
239,3.66531,1.67,0.078939059,1.5644,-8.0437,13,2,1.83129425,5.9605
240,8.666139999999999,3.0,0.084221874,1.7439,-7.018339999999999,12,2,1.449158265,3.24417
241,8.037560000000001,3.0,0.0806965,1.4152,-6.9622399999999995,24,4,1.959566903,3.82191
242,5.9135,3.0,0.070017224,1.4249,-6.123469999999999,12,2,1.401484222,2.90029
243,7.76615,3.0,0.08272248900000001,0.9934,-9.09327,24,4,1.915244015,6.97398
244,6.01864,3.5,0.08104444200000001,0.5591,-7.683510000000001,48,7,1.0,4.76089
245,7.4101300000000005,3.5,0.073569245,2.2244,-7.1123899999999995,48,7,1.0,4.11838
246,5.8697099999999995,3.5,0.07375546,2.2472,-7.43093,48,7,1.0,4.57514
247,5.87171,3.5,0.07378069,2.2481,-7.43095,48,7,1.0,4.57355
248,6.48621,3.5,0.08174123700000001,3.3021,-8.27691,48,7,1.0,6.61333
249,4.76875,3.5,0.081922345,3.2858,-8.59564,48,7,1.0,7.53142
250,5.013999999999999,3.5,0.0847977,0.847,-8.52016,48,7,1.0,6.22944
251,4.2823400000000005,1.0,0.08461561199999999,0.0,-7.773960000000001,47,7,1.0,18.4362
252,4.73595,0.33,0.035870579,0.0,-4.27255,45,7,1.0,4.58204
253,9.431519999999999,0.33,0.043435958,0.0,-3.9909199999999996,45,7,1.0,3.9760000000000004
254,15.2225,0.25,0.061957945,0.0,-9.64677,21,2,2.263713633,7.123010000000001
255,5.01979,1.0,0.09031791900000001,4.1743,-7.84912,47,7,1.0,24.6965
256,3.61456,1.5,0.078918812,4.276,-8.58426,42,6,1.0,4.23674
257,4.134519999999999,3.0,0.060140629,2.0808,-5.4556,41,6,1.0,1.74422
258,4.89501,1.5,0.065272021,4.06,-9.11,42,6,1.0,2.642
259,4.89339,1.5,0.067477522,2.82,-6.83,41,6,1.0,2.66
260,3.27892,3.5,0.06747718,2.8172,-6.831760000000001,41,6,1.0,2.57783
261,2.6202099999999997,3.5,0.071127802,3.0926,-7.5441199999999995,41,6,1.0,5.41219
262,2.81595,3.5,0.064,4.47,-8.03,41,6,1.0,3.84
263,7.05277,2.0,0.08455706199999999,0.0,-5.7546,47,7,1.0,5.8699699999999995
264,4.49022,0.33,0.06772888099999999,0.0,-6.12596,38,3,0.938002985,6.736110000000001
265,5.98871,2.0,0.087796313,3.12,-9.43,47,7,1.0,23.94
266,6.603039999999999,0.33,0.054907344000000004,0.0,-9.02,34,3,1.0,7.74
267,7.86753,3.0,0.07815833900000001,2.181,-7.0240100000000005,45,7,1.0,12.3097
268,7.71287,3.0,0.067042102,2.28,-7.8,45,7,1.0,9.84
269,7.08131,3.0,0.072835069,0.0,-7.71432,45,7,1.0,21.7342
270,5.836930000000001,3.0,0.069110697,0.3313,-6.04632,45,7,1.0,8.68576
271,5.64874,3.0,0.07926229,1.7288,-6.9263,45,7,1.0,12.9608
272,4.86033,3.0,0.079745707,2.29,-7.47382,45,7,1.0,21.4744
273,5.09365,3.0,0.067613252,3.22,-8.21,45,7,1.0,14.9
274,6.7605,3.0,0.070240257,0.7293,-8.49173,45,7,1.0,24.0636
275,7.95705,0.25,0.056500025,0.0,-7.469930000000001,48,7,1.0,0.7000310000000001
276,4.3739099999999995,2.0,0.064868722,3.7088,-6.674980000000001,39,6,3.8923340939999997,6.85733
277,10.7534,2.0,0.08903596300000001,0.0,-7.85571,24,4,0.557481866,13.6076
278,6.8307,2.0,0.09147694099999999,0.0,-5.51893,24,4,0.685459629,11.6446
279,3.57596,1.0,0.069932026,2.4796,-7.89735,39,6,3.5498371989999997,9.06028
280,4.81625,1.0,0.062467465,2.42,-8.33,40,3,1.0,32.7949
281,6.32339,2.0,0.075812425,0.3843,-5.93858,9,2,1.4986069030000002,6.18729
282,6.29945,2.0,0.075525468,0.0,-5.94071,24,4,0.672996115,7.045489999999999
283,9.65966,2.0,0.081952659,0.0,-9.28412,24,4,0.577105116,14.1696
284,3.63372,2.0,0.082164318,2.5528,-8.05743,28,4,1.0,13.0947
285,4.01394,2.0,0.090761809,2.2636,-8.04768,24,4,0.647059704,22.7614
286,4.46159,2.0,0.097184248,0.8364,-7.9177,24,4,0.671091117,19.367
287,10.425999999999998,2.0,0.087264858,0.0,-8.6772,24,4,0.53970818,19.1694
288,8.21381,3.0,0.08448345199999999,0.0,-7.6124,34,3,0.9166382940000001,19.32
289,5.927980000000001,3.0,0.070188738,1.1654,-6.10236,27,4,1.0,5.80732
290,4.88243,3.0,0.08010830599999999,2.3866,-7.47625,27,4,1.002457955,12.185
291,5.23782,3.0,0.069526524,3.56,-8.25,27,4,1.0,10.31
292,5.2449900000000005,3.0,0.06962333799999999,3.58,-8.25,27,4,1.0,10.18
293,6.67335,3.0,0.069334905,0.7390000000000001,-8.50881,23,4,0.73515668,15.3918
294,3.5088199999999996,4.0,0.090607067,4.8968,-7.9786600000000005,28,4,1.0,12.7395
295,4.1279900000000005,4.0,0.081119448,5.8,-8.3,28,4,1.0,8.74
296,7.0988,2.0,0.081828278,0.0,-6.1516,16,2,1.0,3.6105699999999996
297,4.6491,4.0,0.065658445,2.7237,-8.2441,28,4,1.0,4.8759
298,11.1626,2.0,0.092424289,0.0,-7.93832,11,2,1.229031051,12.2838
299,7.06112,2.0,0.08880431300000001,2.0292,-5.3099300000000005,48,7,1.0,4.07567
300,5.6974599999999995,4.0,0.086977321,0.2038,-6.84859,18,2,1.0,9.591460000000001
301,4.98541,4.0,0.09827205,4.04,-8.65,16,3,1.0,11.57
302,4.48954,4.0,0.088495575,4.47,-8.73,28,4,1.0,11.61
303,6.36958,2.0,0.08566306300000001,0.6598,-5.015680000000001,48,7,1.0,3.18526
304,6.909039999999999,2.0,0.082834028,0.1517,-5.85956,41,6,1.0,4.7526
305,6.989839999999999,2.0,0.083802979,0.18100000000000002,-5.70972,12,2,2.037775164,3.02075
