"","mass_density","ratio_oxygen_by_transition_metal_atom","ratio_atoms_cell_by_cell_vol","electronic_energy_band_gap","energy_atom","point_group","c.a_ratio","AGL_bulk_mod","Thermal_Conductivity"
"142",5.78358,3.5,0.066950904,3.7972,-8.96014,48,1,160.102,"Medium"
"143",5.29012,4,0.070225952,2.9412,-9.66418,16,1,151.183,"Medium"
"144",7.50283,3,0.071921749,3.96,-8.69,8,1.004889976,159.68,"Medium"
"145",3.84544,4,0.059410058,5.2512,-7.97951,12,0.891187386,127.694,"Medium"
"146",2.62021,3.5,0.071127802,3.0926,-7.54412,24,1,167.073,"Medium"
"147",5.5842,4,0.072726832,2.9629,-8.1556,16,1,157.745,"Medium"
"148",4.88724,3,0.076707705,0,-8.35056,24,3.157075262,145.057,"Medium"
"149",5.40576,3.5,0.07374211,3.2676,-8.17553,48,1,166.272,"Medium"
"150",4.49239,1,0.057825752,5.07,-7.46,16,0.5875,100.303,"Medium"
"151",4.01866,2,0.103116702,1.9902,-6.60912,16,1,134.591,"Medium"
"152",7.93969,3.5,0.075274667,2.1174,-7.38325,48,1,186.202,"Medium"
"153",5.98381,3.5,0.075845069,2.0818,-6.96768,48,1,177.787,"Medium"
"154",5.76995,4,0.074213798,0.2425,-7.68734,16,1,153.683,"Medium"
"155",6.64662,3.5,0.072305867,2.8475,-10.6304,48,1,170.698,"Medium"
"156",5.93715,1.33,0.10023187,1.8891,-5.42017,48,1,166.034,"Medium"
"157",5.92798,3,0.070188738,1.1654,-6.10236,16,1,123.246,"Medium"
"158",7.5076,3,0.071942446,4.17,-8.7,8,0.703703704,159.876,"Medium"
"159",6.21099,1,0.042755507,1.9022,-7.37628,16,1,86.6415,"Medium"
"160",5.88616,4,0.075085879,0.2367,-7.68682,16,1,155.035,"Medium"
"161",8.75272,3.5,0.074005053,3.4526,-11.0309,48,1,179.08,"Medium"
"162",7.05277,2,0.084557062,0,-5.7546,48,1,169,"Medium"
"163",9.21326,3.5,0.076402153,3.12,-9.37,48,1,185.775,"Medium"
"164",9.10692,3.5,0.075981543,3.2266,-9.37413,48,1,184.535,"Medium"
"165",3.66531,1.67,0.078939059,1.5644,-8.0437,8,1.83129425,170.243,"Medium"
"166",5.58305,3,0.086408765,0,-5.67577,48,1,118.375,"Medium"
"167",5.5207,4,0.072558848,0.2556,-7.69236,16,1,150.474,"Medium"
"168",6.32339,2,0.075812425,0.3843,-5.93858,8,1.498606903,157.623,"Medium"
"169",5.014,3.5,0.0847977,0.847,-8.52016,48,1,186.336,"Medium"
"170",6.31819,4,0.082286467,2.7789,-8.11733,8,1,179.347,"Medium"
"171",7.1175,3,0.061522182,0,-7.76733,8,1.541801314,148.305,"Medium"
