mass_density,ratio_oxygen_by_transition_metal_atom,Bravias_lattice.BCT,Bravias_lattice.CUB,Bravias_lattice.FCC,Bravias_lattice.HEX,Bravias_lattice.MCL,Bravias_lattice.MCLC,Bravias_lattice.ORC,Bravias_lattice.ORCC,Bravias_lattice.RHL,Bravias_lattice.TET,ratio_atoms_cell_by_cell_vol,electronic_energy_band_gap,energy_atom,point_group,c_by_a_ratio.,AGL_bulk_mod,AGL_thermal_conductivity
5.39908,2,1,0,0,0,0,0,0,0,0,0,0.079500735,1.5225,-6.50245,16,1,131.563,2.43845
6.28799,1,0,0,0,1,0,0,0,0,0,0,0.058978782,0,-3.78289,12,1.580611803,87.9671,1.66417
7.1842,2,0,0,1,0,0,0,0,0,0,0,0.079234818,1.8886,-5.14331,48,1,169.317,2.28661
6.50184,3.5,0,0,1,0,0,0,0,0,0,0,0.082411202,1.9621,-6.68657,48,1,189.315,2.65607
5.98381,3.5,0,0,1,0,0,0,0,0,0,0,0.075845069,2.0818,-6.96768,48,1,177.787,5.6713
7.10473,3,0,0,0,0,0,0,1,0,0,0,0.076649791,0.4471,-5.09004,8,1.448867486,143.227,2.37723
5.99856,3,0,0,0,0,0,0,1,0,0,0,0.08670846,2.6187,-6.36042,4,1.409044338,180.303,4.97296
6.29411,3,0,0,0,0,0,0,1,0,0,0,0.08967122,0.4566,-6.26122,8,1.456068033,181.275,4.43936
6.79017,3.5,0,0,1,0,0,0,0,0,0,0,0.077510367,0.4798,-5.36123,48,1,151.846,2.95423
7.93969,3.5,0,0,1,0,0,0,0,0,0,0,0.075274667,2.1174,-7.38325,48,1,186.202,5.63437
6.14323,2,0,1,0,0,0,0,0,0,0,0,0.076855582,1.4193,-4.03947,24,1,108.988,2.15515
4.70755,1,0,0,0,0,0,0,1,0,0,0,0.044950083,1.3562,-3.56908,8,1.686468044,40.105,0.492799
6.1915,2,0,0,1,0,0,0,0,0,0,0,0.082360208,1.1565,-5.47771,48,1,154.983,3.10202
7.18237,2,0,0,0,0,0,0,1,0,0,0,0.074298542,0.3593,-4.75786,8,3.084148722,133.082,1.9816
4.54933,4,1,0,0,0,0,0,0,0,0,0,0.06444787,2.5168,-8.17348,16,1,139.283,4.55947
4.49239,1,0,0,0,0,0,0,0,0,0,1,0.057825752,5.07,-7.46,16,0.5875,100.303,215.726
4.99028,1,0,0,1,0,0,0,0,0,0,0,0.080211116,2.4661,-5.8269,24,1,121.474,7.12888
5.58305,3,0,1,0,0,0,0,0,0,0,0,0.086408765,0,-5.67577,48,1,118.375,5.97575
10.6579,2,0,0,0,0,0,0,0,1,0,0,0.086711468,0.6013,-5.23445,8,0.520120768,201.604,4.44125
3.62988,2,0,0,0,0,0,0,0,0,0,1,0.067244408,1.0851,-5.07432,16,2.080478459,87.1187,3.41067
6.28068,3,0,0,0,0,0,0,0,0,0,1,0.085437631,0.8758,-6.12248,16,1.99303911,172.322,6.78386
4.9955,1,0,0,0,1,0,0,0,0,0,0,0.080295165,1.7992,-5.84584,12,1.591391631,122.06,4.85589
6.77222,2,0,0,1,0,0,0,0,0,0,0,0.086841093,1.928,-5.72038,48,1,187.028,3.5876
5.23267,3,0,0,0,0,0,0,1,0,0,0,0.084758692,3.1938,-5.53372,8,1.511270452,139.755,4.29365
5.98438,3.5,0,0,1,0,0,0,0,0,0,0,0.083746993,1.0262,-5.95436,48,1,164.873,3.85485
6.48151,3,0,1,0,0,0,0,0,0,0,0,0.081692405,1.7885,-8.08312,48,1,171.651,16.9784
5.16477,2,0,0,1,0,0,0,0,0,0,0,0.111088893,0,-7.27029,48,1,205.084,18.8664
5.32897,2,0,0,0,1,0,0,0,0,0,0,0.087004563,2.5906,-6.40901,24,3.758609209,152.151,4.84194
5.88616,4,1,0,0,0,0,0,0,0,0,0,0.075085879,0.2367,-7.68682,16,1,155.035,5.86044
5.76995,4,1,0,0,0,0,0,0,0,0,0,0.074213798,0.2425,-7.68734,16,1,153.683,5.7556
4.04124,2,0,0,0,1,0,0,0,0,0,0,0.079084205,3.082,-6.44653,24,3.847374903,116.806,8.42349
4.65182,2,0,0,0,0,0,0,0,0,0,1,0.100055865,0,-7.46746,16,0.663746983,187.317,9.66821
3.75947,4,0,0,0,0,0,0,0,1,0,0,0.09242856,2.3387,-7.59243,8,1.331204589,191.553,16.0695
5.5207,4,1,0,0,0,0,0,0,0,0,0,0.072558848,0.2556,-7.69236,16,1,150.474,6.18622
3.78281,4,0,0,0,0,0,0,0,1,0,0,0.081878288,2.0747,-7.80516,8,1.226663865,169.826,11.8175
7.07091,2,0,0,1,0,0,0,0,0,0,0,0.080871097,1.5799,-6.55242,48,1,151.484,2.51445
4.18264,2,0,0,1,0,0,0,0,0,0,0,0.091692046,4.2776,-7.47939,16,1,169.922,6.52669
4.18185,2,0,0,1,0,0,0,0,0,0,0,0.091674634,4.2825,-7.47939,48,1,169.995,6.62558
4.642,2,0,0,1,0,0,0,0,0,0,0,0.087778697,3.2627,-8.02361,48,1,165.821,4.58145
5.52627,3,0,0,0,0,0,0,0,0,0,1,0.091431822,1.5291,-6.90599,16,1.99197997,193.028,6.43882
6.48988,3,0,0,0,0,0,0,0,0,0,1,0.091639429,1.3326,-8.2221,16,1.946618211,227.346,8.187
4.95407,2,0,1,0,0,0,0,0,0,0,0,0.106556795,0,-7.35863,24,1,188.924,8.31568
5.20196,2,1,0,0,0,0,0,0,0,0,0,0.093966038,4.3144,-7.05336,16,0.99819974,177.221,6.59846
5.20069,2,0,0,1,0,0,0,0,0,0,0,0.093943339,4.3264,-7.05338,48,1,177.29,6.61192
4.22102,2,0,0,0,0,0,0,0,1,0,0,0.044507744,1.2829,-4.26136,8,0.82428564,51.9207,1.45598
4.41627,2,0,0,1,0,0,0,0,0,0,0,0.048190739,1.9729,-5.62294,48,1,67.1517,1.23159
5.56123,2,0,0,0,1,0,0,0,0,0,0,0.052780893,2.84,-6.92,24,3.854341737,84.1012,23.2336
4.68948,0.67,0,0,0,0,0,0,0,0,0,1,0.034622442,1.4945,-3.52205,16,1.200735379,27.3577,0.488223
6.10941,2,0,0,0,1,0,0,0,0,0,0,0.08903996,1.0375,-5.03943,24,3.835712363,148.377,4.52881
6.23075,2,0,0,0,1,0,0,0,0,0,0,0.071347032,0.4446,-4.90755,24,3.49947437,119.296,2.52247
5.96773,1,0,0,0,0,0,1,0,0,0,0,0.090359745,0,-4.17131,4,1.758671889,136.881,1.43012
5.3465,1.5,0,0,0,0,0,0,0,1,0,0,0.073535089,0,-4.8533,8,0.578657852,104.741,5.34777
4.33637,2,0,0,0,1,0,0,0,0,0,0,0.074345988,2.6414,-6.73244,24,3.486913658,128.82,4.74294
5.18432,2,0,0,0,0,0,0,0,1,0,0,0.06818085,0,-5.18657,8,0.477126678,97.3228,4.29353
4.87204,2,0,0,0,1,0,0,0,0,0,0,0.063626892,2.7617,-7.05577,24,3.225850798,112.793,3.18158
5.45089,1.67,0,0,0,0,0,0,0,1,0,0,0.073621439,0,-4.98132,8,0.351699843,103.109,3.63613
6.01944,0.5,0,1,0,0,0,0,0,0,0,0,0.076000162,0.6558,-3.6167,48,1,97.0286,0.253177
5.78034,1.33,0,0,1,0,0,0,0,0,0,0,0.072878153,1.5995,-4.47772,48,1,112.174,1.60525
5.85747,0.75,1,0,0,0,0,0,0,0,0,0,0.081712698,0.0653,-3.98597,16,1,116.163,0.710014
6.31819,4,1,0,0,0,0,0,0,0,0,0,0.082286467,2.7789,-8.11733,8,1,179.347,6.29261
