"","DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","y_scaled"
"27",0.317774141883306,-0.153963531815315,0.188171766297949,-0.0624034229568995,0.101315294270377,19.3308
"28",0.371865990583436,-0.21511762530122,0.0971214975807033,-0.0289280754613093,0.0122546291449962,17.4699
"29",0.169325818547928,0.20405715152749,0.00542216394362338,0.351851157593567,-0.209177046719962,3.57166
"30",-0.260437449933138,-0.209268806432571,0.0694247381498251,-0.395028159338675,0.0179294916198237,7.22743
"31",-0.287853332998856,-0.104744967607588,0.0226915415755041,-0.267577033850404,0.00863930349967967,11.8894
"32",-0.111072105172004,0.382294966946571,0.0522257227674328,0.209735945322578,0.0718711892827554,12.4976
"33",-0.236696394821941,0.492214357995073,0.0446471512789532,0.137410773656616,0.216459010552179,10.4578
"34",-0.27850349130083,-0.160788004774972,-0.0126341704639981,-0.336189095987561,-0.0540921653384239,7.688
"35",-0.181247363074216,-0.222991339367454,-0.0351762132549791,-0.218365628549455,0.023460359386777,16.6821
"36",-0.118598038050645,-0.222085919506311,-0.139589490096679,-0.111737268632799,-0.0209281661346872,14.01
"37",0.235933020029814,0.0926379889487812,-0.157372066011638,0.349942206820223,-0.161253068251382,6.46
"38",0.283849108843584,0.18178451868961,-0.0851117027154344,0.302026967046052,-0.183876424122501,1.99198
"39",-0.504957152728712,0.220218081563676,-0.217933338896707,0.18528501612047,-0.17881940591086,2.87552
"40",0.047025484457731,1.94631677872259e-05,0.0410122369884776,-0.190028273581379,0.0227550304093398,2.63685
"41",0.0192937791115873,0.0779788534135709,-0.0488971472759643,-0.142394071340145,0.132218388713367,4.05023
"42",0.29440873519477,0.0396958111015697,-0.0124461779410647,0.0217367358045562,-0.168204516973994,4.5882
"43",-0.196482221657861,-0.254272126025813,-0.00779992518066419,-0.369872808338695,-0.0377566538979144,8.83105
"44",0.38340480411294,-0.15538256893238,-0.0898767215420395,-0.0227402909753416,-0.158365918746958,3.72026
"45",0.331452270582453,-0.0063305618062679,0.0132899272276754,-0.00796914510493107,-0.114086273561305,3.78178
"46",0.28435320556425,0.0414541355407322,0.00655246405030208,0.0187732681278492,-0.127941874798154,12.5194
"47",-0.252110564785067,-0.261186134131178,-0.0203331501097463,-0.438727344172922,-0.137335495800389,3.29327
"48",0.237219823436,0.0688324427690272,-0.00319063994118984,0.00280229742707971,-0.174311163392249,2.54021
"49",-0.263404966504044,-0.247931925312673,0.023607905563383,-0.442285159282989,-0.075630739801904,2.64462
"50",-0.143520866641159,-0.299289592690645,-0.143974217834685,-0.273077542646214,-0.115668293586068,2.57836
"51",-0.0735246995971368,-0.357878051528503,-0.0857296366724651,-0.315523678501072,-0.0381762274469652,3.89072
"52",-0.264532478932154,-0.223739144536469,0.193683201615322,-0.429706934289692,0.151745719281522,7.54051
"53",0.170221708788823,0.217739170071382,0.238178793538555,0.206253082671629,0.038328856497498,1.74578
"54",-0.268029794341675,-0.172389539232325,0.0239528530141493,-0.309286982744013,0.0211561187964795,9.29177
"55",-0.188620153088886,-0.222525962054258,0.0456216627742236,-0.221094792191128,0.127048566975126,21.6331
"56",-0.130538518866655,-0.211423057717229,-0.0850903620564938,-0.104575768880597,0.0562121099293855,15.29
"57",0.275565145093866,-0.0438046047334975,0.0642142804765105,0.105304497251351,0.0224721893591839,14.4852
"58",-0.512733194274836,0.206083261652647,-0.0985814028842484,0.143838560721535,-0.0540192891537088,7.7961
"59",0.0275176098818167,-0.00206597782009244,0.137925922998027,-0.211113857939579,0.1456716633071,3.07098
"60",0.267172375246728,0.0562717270161942,0.205467266743817,-0.0799229951317264,0.0701333347784483,3.30019
"61",-0.174279967509142,-0.207432347543102,0.013832840652518,-0.257330917251892,0.0828405297392399,8.92813
"62",0.20755415994689,0.110341089415781,0.147625409150962,-0.0459951733816795,-0.00583341862265851,3.53915
"63",0.345678717132823,0.043586011798691,0.0635312351806878,0.138560163918842,0.0531669084515111,8.4113
"64",0.405343087277587,0.0369603642691245,-0.0552189223313941,0.249096612643345,-0.0146517007945393,6.98
