"","mass_density","oxygen.transition_metal_atom","atoms_cell.cell_vol","electronic_energy_band_gap","energy_atom","space_group","point_group","c.a_ratio","AGL_thermal_conductivity"
"144",5.91316,1,0.099127676,0,-6.39801,225,48,1,9.94482
"145",5.04615,2,0.069275225,0,-6.41134,123,16,0.860585068,11.087
"146",5.32906,3,0.083807123,0,-6.42297,221,48,1,8.0483
"147",5.17095,2.75,0.078902999,0,-6.48661,65,8,0.814980328,3.26311
"148",5.26527,2,0.073321846,3.7068,-8.31499,36,4,0.761651939,4.24501
"149",5.29012,4,0.070225952,2.9412,-9.66418,141,16,1,5.37694
"150",8.75272,3.5,0.074005053,3.4526,-11.0309,227,48,1,5.86094
"151",7.23794,3.5,0.072222313,2.1547,-8.76022,227,48,1,4.03978
"152",6.3214,3.5,0.080175219,3.2737,-9.91623,227,48,1,6.44169
"153",6.88743,3.5,0.0749255,0.1483,-10.3493,227,48,1,3.69397
"154",6.64662,3.5,0.072305867,2.8475,-10.6304,227,48,1,5.79276
"155",5.7573,2.67,0.087732125,3.88,-8.73,121,8,1,4.33
"156",5.41548,2,0.092625673,0.8331,-7.25374,55,8,3.127152972,4.53693
"157",5.86812,2,0.097402146,2.1223,-5.67634,227,48,1,5.29965
"158",10.6975,2,0.091827365,3.8,-30.27,225,48,1,21.78
"159",10.0371,3,0.069686411,2.42,-8.25,221,48,1,10.66
"160",7.34344,3,0.070392792,3.73,-8.27,221,48,1,15.11
"161",7.5111,3,0.071999424,4.08,-8.69,140,16,1.441176471,10.27
"162",6.81658,4,0.091033227,5.3,-9.06,141,16,0.904977376,10.97
"163",9.21326,3.5,0.076402153,3.12,-9.37,227,48,1,5.88
"164",7.73588,3.5,0.068620907,4.4648,-9.3467,227,48,1,5.25907
"165",7.50283,3,0.071921749,3.96,-8.69,63,8,1.004889976,5.4
"166",7.5076,3,0.071942446,4.17,-8.7,62,8,0.703703704,5.81
"167",7.36826,3.5,0.07546652,3.34,-9.7,227,48,1,6.44
"168",3.60511,3.5,0.055331846,2.6438,-8.46874,205,24,1,3.23817
"169",8.11561,1,0.064717938,2.87,-8.91,198,23,1,33.8416
"170",11.6031,2,0.099593327,3.39,-10.04,62,8,1.66966967,7.82
"171",7.65603,3.5,0.07466663,2.1953,-7.10373,227,48,1,4.25779
"172",6.90074,3,0.068866255,2.8177,-6.92655,62,8,1.439486929,2.63292
"173",11.3483,2,0.091438604,0,-6.20253,136,16,0.698559052,8.97785
"174",4.47347,3,0.074831703,2.047,-7.46912,38,4,0.985377968,12.7733
"175",6.73174,3,0.075620885,2.3227,-7.91939,221,48,1,19.2577
"176",5.53578,0.3,0.042129506,0,-6.31737,191,24,0.430326804,3.21651
"177",5.64167,1.5,0.052139206,3.5256,-8.15204,206,24,1,1.46822
"178",6.45258,3,0.080338321,0,-7.86657,221,48,1,9.48942
"179",6.93722,2,0.072783779,0,-6.49163,123,16,0.847954037,8.62143
"180",6.08968,3,0.078092665,0,-7.98439,221,48,1,3.68015
"181",5.53298,1,0.048732468,2.9693,-7.73897,164,12,1.711109055,7.93424
"182",6.21099,1,0.042755507,1.9022,-7.37628,139,16,1,5.815
"183",4.59725,1.5,0.04248702,1.6,-7.90985,189,6,0.520701764,3.83825
"184",4.52769,4,0.069950452,5.3868,-7.95741,141,16,1,4.44492
"185",3.84544,4,0.059410058,5.2512,-7.97951,180,12,0.891187386,5.40539
"186",6.66341,2.33,0.062199956,3.6497,-8.62557,65,8,0.580622438,6.99383
"187",7.14268,2.5,0.067844651,1.8389,-6.5538,84,8,0.839451388,2.44396
"188",5.78322,3,0.063136495,4.5627,-8.60307,33,4,1.445333818,3.70853
"189",6.30751,3.5,0.066619831,2.0853,-7.06209,227,48,1,3.44149
"190",5.40576,3.5,0.07374211,3.2676,-8.17553,227,48,1,5.56521
"191",5.78358,3.5,0.066950904,3.7972,-8.96014,227,48,1,5.35167
"192",5.88827,1,0.045541111,1.4444,-7.21432,38,4,1.232472113,3.2937
"193",6.1641,1.5,0.056967506,3.4389,-8.12499,12,4,1.210039752,2.90735
"194",5.56259,2,0.101629502,1.6572,-7.48401,194,24,3.595829242,17.7999
"195",3.50435,2,0.088597502,0,-7.38849,227,48,1,11.1979
"196",3.91664,2,0.095535099,0,-7.41274,227,48,1,9.36389
"197",4.01866,2,0.103116702,1.9902,-6.60912,141,16,1,5.61154
"198",5.94794,2,0.101009463,2.3816,-5.39371,227,48,1,3.72076
"199",7.50559,3,0.084363268,3.0629,-8.64364,136,16,1.944625628,8.94536
"200",2.82237,3,0.068955055,2.7076,-7.21722,36,4,0.916796376,4.55773
"201",2.82789,3,0.069089879,0,-6.9524,65,8,0.916087049,2.32607
"202",6.02846,2,0.086405352,2.1913,-5.7353,227,48,1,3.77139
"203",5.50567,1.83,0.08223718,0.489,-7.98492,164,12,1.236080788,6.82779
"204",4.60609,2,0.083947952,1.5203,-5.96357,227,48,1,4.64054
"205",3.58296,1.33,0.098446514,2.2626,-6.255,225,48,1,9.92072
"206",5.93715,1.33,0.10023187,1.8891,-5.42017,225,48,1,5.80313
"207",5.11069,1,0.086773166,2.6192,-7.81368,225,48,1,13.3183
"208",5.38267,3,0.08505412,0,-6.81705,221,48,1,6.37594
"209",4.00704,2,0.087807394,3.2672,-6.33757,59,8,2.193509674,7.76154
"210",8.09908,1.5,0.086370579,0,-7.66785,191,24,0.623297238,7.0869
"211",4.88724,3,0.076707705,0,-8.35056,194,24,3.157075262,5.55972
"212",5.88515,1.83,0.078911962,0.4695,-8.54476,164,12,1.257746184,4.85083
"213",5.07482,2.5,0.07533335,1.8335,-6.96423,55,8,2.852211107,3.34065
"214",5.14059,3,0.08122883,0.8325,-6.85505,194,24,1.676641953,3.19101
"215",5.67964,3.5,0.080846982,0,-6.77106,227,48,1,3.66526
"216",8.15424,3.5,0.08565744,0,-5.97745,227,48,1,1.86119
"217",5.22444,3.5,0.086589969,0.8556,-8.10328,227,48,1,4.7413
"218",3.4773,2,0.071186682,4.28,-6.39731,227,48,1,7.64004
"219",5.90464,2,0.083380235,0,-7.92667,136,16,0.685631691,12.0956
"220",2.8443,3,0.084378098,3.2388,-5.96572,205,24,1,1.67057
"221",4.29332,3,0.078876919,1.8358,-7.48461,221,48,1,19.219
"222",6.55803,3,0.078379857,2.5031,-7.94003,221,48,1,17.7321
"223",6.97981,3,0.08247069,0,-7.45922,221,48,1,13.6807
"224",4.42281,3,0.081255891,1.8633,-7.49548,127,16,0.719700711,18.5039
"225",6.73116,3,0.080449228,2.5252,-7.95074,127,16,0.717511932,17.8237
"226",3.76808,1,0.083017865,2.3481,-4.28594,36,4,1.571031826,2.61306
"227",4.93288,2,0.070771408,4.9017,-6.8694,227,48,1,6.66502
"228",5.612,3,0.07394437,0,-7.86387,221,48,1,11.4654
"229",5.72086,2,0.082747093,0,-8.70602,136,16,0.583606084,15.7693
"230",7.05532,1,0.078027263,0,-8.77171,221,48,1,24.5568
"231",5.72543,3.5,0.070867156,1.0459,-7.50126,227,48,1,7.65128
"232",6.10834,1.6,0.075094455,0,-8.22977,123,16,2.90448025,8.16702
"233",6.85676,1.25,0.082287971,0,-8.72419,137,16,0.719053513,8.71805
"234",5.5622,3,0.08683068,3.6269,-7.76513,60,8,2.815084973,4.53052
"235",6.56005,1,0.105785963,2.2231,-4.96006,225,48,1,21.5631
"236",6.3481,3,0.086407189,0.8785,-5.91874,136,16,1.985710642,4.63346
"237",8.11914,3,0.085185325,2.8841,-8.39283,136,16,1.927062763,7.28957
"238",7.1175,3,0.061522182,0,-7.76733,63,8,1.541801314,6.3661
"239",5.20179,2,0.104686986,3.2679,-6.24257,227,48,1,8.1989
"240",7.73171,2.5,0.07375758,0.4338,-9.01481,47,8,2.102756138,39.2307
"241",3.66531,1.67,0.078939059,1.5644,-8.0437,63,8,1.83129425,5.9605
"242",8.66614,3,0.084221874,1.7439,-7.01834,62,8,1.449158265,3.24417
"243",8.03756,3,0.0806965,1.4152,-6.96224,136,16,1.959566903,3.82191
"244",5.9135,3,0.070017224,1.4249,-6.12347,62,8,1.401484222,2.90029
"245",7.76615,3,0.082722489,0.9934,-9.09327,136,16,1.915244015,6.97398
"246",6.01864,3.5,0.081044442,0.5591,-7.68351,227,48,1,4.76089
"247",7.41013,3.5,0.073569245,2.2244,-7.11239,227,48,1,4.11838
"248",5.86971,3.5,0.07375546,2.2472,-7.43093,227,48,1,4.57514
"249",5.87171,3.5,0.07378069,2.2481,-7.43095,227,48,1,4.57355
"250",6.48621,3.5,0.081741237,3.3021,-8.27691,227,48,1,6.61333
"251",4.76875,3.5,0.081922345,3.2858,-8.59564,227,48,1,7.53142
"252",5.014,3.5,0.0847977,0.847,-8.52016,227,48,1,6.22944
"253",4.28234,1,0.084615612,0,-7.77396,225,48,1,18.4362
"254",4.73595,0.33,0.035870579,0,-4.27255,221,48,1,4.58204
"255",9.43152,0.33,0.043435958,0,-3.99092,221,48,1,3.976
"256",15.2225,0.25,0.061957945,0,-9.64677,123,8,2.263713633,7.12301
"257",5.01979,1,0.090317919,4.1743,-7.84912,225,48,1,24.6965
"258",3.61456,1.5,0.078918812,4.276,-8.58426,206,24,1,4.23674
"259",4.13452,3,0.060140629,2.0808,-5.4556,205,24,1,1.74422
"260",4.89501,1.5,0.065272021,4.06,-9.11,206,24,1,2.642
"261",4.89339,1.5,0.067477522,2.82,-6.83,205,24,1,2.66
"262",3.27892,3.5,0.06747718,2.8172,-6.83176,205,24,1,2.57783
"263",2.62021,3.5,0.071127802,3.0926,-7.54412,205,24,1,5.41219
"264",2.81595,3.5,0.064,4.47,-8.03,205,24,1,3.84
"265",7.05277,2,0.084557062,0,-5.7546,225,48,1,5.86997
"266",4.49022,0.33,0.067728881,0,-6.12596,193,12,0.938002985,6.73611
"267",5.98871,2,0.087796313,3.12,-9.43,225,48,1,23.94
"268",6.60304,0.33,0.054907344,0,-9.02,182,12,1,7.74
"269",7.86753,3,0.078158339,2.181,-7.02401,221,48,1,12.3097
