iter	Passed	Remaining
1124	24651	19173
1125	24675	19153
1126	24699	19133
1127	24724	19113
1128	24748	19092
1129	24772	19072
1130	24797	19053
1131	24822	19033
1132	24846	19013
1133	24871	18993
1134	24894	18972
1135	24919	18952
1136	24943	18932
1137	24967	18912
1138	24992	18892
1139	25016	18872
1140	25040	18851
1141	25065	18831
1142	25090	18812
1143	25114	18791
1144	25138	18771
1145	25163	18751
1146	25187	18731
1147	25212	18711
1148	25237	18692
1149	25262	18672
1150	25264	18635
1151	25291	18617
1152	25316	18597
1153	25343	18579
1154	25367	18559
1155	25394	18540
1156	25418	18520
1157	25443	18500
1158	25467	18479
1159	25491	18459
1160	25515	18439
1161	25539	18418
1162	25563	18397
1163	25588	18377
1164	25613	18357
1165	25637	18337
1166	25662	18317
1167	25686	18297
1168	25711	18277
1169	25712	18240
1170	25736	18220
1171	25760	18199
1172	25785	18179
1173	25809	18158
1174	25833	18138
1175	25858	18118
1176	25881	18097
1177	25910	18080
1178	25935	18060
1179	25960	18040
1180	25985	18020
1181	26009	18000
1182	26034	17979
1183	26058	17959
1184	26083	17939
1185	26108	17919
1186	26132	17898
1187	26156	17878
1188	26180	17857
1189	26205	17837
1190	26230	17817
1191	26254	17796
1192	26279	17776
1193	26303	17756
1194	26328	17735
1195	26352	17715
1196	26376	17694
1197	26402	17674
1198	26426	17654
1199	26450	17633
1200	26474	17613
1201	26500	17593
1202	26525	17573
1203	26550	17553
1204	26575	17533
1205	26602	17514
1206	26628	17494
1207	26653	17474
1208	26664	17445
1209	26688	17424
1210	26712	17404
1211	26737	17383
1212	26761	17363
1213	26785	17342
1214	26809	17321
1215	26834	17301
1216	26858	17280
1217	26882	17259
1218	26906	17239
1219	26930	17218
1220	26954	17197
1221	26979	17176
1222	27004	17156
1223	27015	17127
1224	27038	17106
1225	27062	17085
1226	27088	17065
1227	27112	17044
1228	27137	17024
1229	27161	17003
1230	27185	16982
1231	27210	16962
1232	27235	16941
1233	27259	16921
1234	27261	16886
1235	27285	16865
1236	27309	16845
1237	27333	16824
1238	27358	16803
1239	27382	16783
1240	27407	16762
1241	27431	16741
1242	27455	16720
1243	27479	16699
1244	27504	16679
1245	27528	16658
1246	27552	16637
1247	27578	16617
1248	27580	16583
1249	27605	16563
1250	27630	16542
1251	27655	16522
1252	27681	16502
1253	27706	16482
1254	27731	16462
1255	27758	16442
1256	27782	16422
1257	27807	16401
1258	27832	16381
1259	27857	16360
1260	27882	16340
1261	27907	16319
1262	27908	16285
1263	27933	16265
1264	27958	16244
1265	27982	16223
1266	28007	16203
1267	28031	16182
1268	28056	16162
1269	28081	16141
1270	28106	16120
1271	28132	16100
1272	28158	16081
1273	28183	16060
1274	28208	16039
1275	28233	16019
1276	28257	15998
1277	28282	15978
1278	28307	15957
1279	28331	15936
1280	28356	15915
1281	28380	15895
1282	28405	15874
1283	28430	15853
1284	28454	15832
1285	28478	15811
1286	28503	15791
1287	28528	15770
1288	28552	15749
1289	28577	15728
1290	28601	15707
1291	28627	15687
1292	28651	15666
1293	28676	15645
1294	28700	15624
1295	28725	15603
1296	28749	15582
1297	28773	15561
1298	28797	15540
1299	28822	15519
1300	28846	15498
1301	28872	15478
1302	28899	15459
1303	28924	15438
1304	28951	15418
1305	28976	15397
1306	29002	15377
1307	29026	15356
1308	29050	15335
1309	29075	15314
1310	29099	15293
1311	29124	15272
1312	29149	15251
1313	29173	15230
1314	29198	15209
1315	29222	15188
1316	29247	15167
1317	29271	15146
1318	29295	15125
1319	29320	15104
1320	29344	15083
1321	29368	15062
1322	29392	15040
1323	29417	15019
1324	29441	14998
1325	29465	14976
1326	29489	14955
1327	29514	14934
1328	29537	14913
1329	29562	14892
1330	29573	14864
1331	29598	14843
1332	29622	14822
1333	29647	14801
1334	29672	14780
1335	29695	14759
1336	29719	14737
1337	29743	14716
1338	29768	14695
1339	29792	14673
1340	29816	14652
1341	29840	14631
1342	29865	14610
1343	29889	14588
1344	29913	14567
1345	29936	14545
1346	29961	14524
1347	29986	14503
1348	30010	14482
1349	30034	14461
1350	30039	14430
1351	30064	14409
1352	30091	14389
1353	30117	14369
1354	30142	14348
1355	30168	14327
1356	30194	14307
1357	30219	14286
1358	30244	14265
1359	30268	14243
1360	30292	14222
1361	30317	14201
1362	30342	14180
1363	30366	14158
1364	30390	14137
1365	30414	14116
1366	30438	14094
1367	30462	14073
1368	30486	14052
1369	30510	14030
1370	30535	14009
1371	30559	13987
1372	30584	13966
1373	30608	13945
1374	30632	13924
1375	30657	13902
1376	30682	13881
1377	30706	13860
1378	30730	13838
1379	30754	13817
1380	30779	13795
1381	30803	13774
1382	30827	13753
1383	30852	13731
1384	30876	13710
1385	30900	13689
1386	30924	13667
1387	30948	13646
1388	30973	13624
1389	30997	13603
1390	31022	13581
1391	31046	13560
1392	31072	13539
1393	31096	13518
1394	31121	13496
1395	31145	13475
1396	31169	13453
1397	31194	13432
1398	31218	13411
1399	31244	13390
1400	31268	13369
1401	31294	13348
1402	31320	13327
1403	31345	13306
1404	31370	13284
1405	31397	13264
1406	31421	13243
1407	31446	13221
1408	31470	13200
1409	31494	13178
1410	31518	13156
1411	31542	13135
1412	31567	13113
1413	31592	13092
1414	31616	13071
1415	31642	13050
1416	31667	13028
1417	31691	13007
1418	31715	12985
1419	31739	12963
1420	31799	12957
1421	31825	12936
1422	31849	12914
1423	31874	12892
1424	31899	12871
1425	31923	12850
1426	31947	12828
1427	31971	12806
1428	31996	12785
1429	32020	12763
1430	32044	12741
1431	32069	12720
1432	32093	12698
1433	32118	12677
1434	32143	12655
1435	32167	12634
1436	32192	12612
1437	32216	12590
1438	32240	12569
1439	32265	12547
1440	32289	12525
1441	32313	12504
1442	32337	12482
1443	32361	12460
1444	32385	12438
1445	32410	12417
1446	32434	12395
1447	32458	12373
1448	32483	12352
1449	32507	12330
1450	32532	12308
1451	32558	12288
1452	32587	12267
1453	32612	12246
1454	32637	12224
1455	32662	12203
1456	32688	12182
1457	32712	12160
1458	32736	12138
1459	32760	12116
1460	32784	12095
1461	32808	12073
1462	32832	12051
1463	32856	12029
1464	32881	12007
1465	32905	11986
1466	32929	11964
1467	32953	11942
1468	32977	11920
1469	33001	11898
1470	33026	11876
1471	33050	11855
1472	33075	11833
1473	33099	11811
1474	33124	11790
1475	33149	11768
1476	33174	11746
1477	33198	11724
1478	33222	11703
1479	33246	11681
1480	33270	11659
1481	33295	11637
1482	33319	11615
1483	33343	11593
1484	33367	11572
1485	33392	11550
1486	33396	11521
1487	33420	11499
1488	33445	11477
1489	33469	11456
1490	33494	11434
1491	33518	11412
1492	33543	11390
1493	33567	11368
1494	33592	11347
1495	33616	11325
1496	33640	11303
1497	33664	11281
1498	33688	11259
1499	33713	11237
1500	33737	11215
1501	33762	11194
1502	33788	11172
1503	33814	11151
1504	33839	11129
1505	33865	11108
1506	33890	11086
1507	33915	11065
1508	33939	11043
1509	33963	11021
1510	33988	10999
1511	34012	10977
1512	34036	10955
1513	34060	10933
1514	34084	10911
1515	34109	10889
1516	34133	10867
1517	34158	10846
1518	34183	10824
1519	34207	10802
1520	34231	10780
1521	34255	10758
1522	34280	10736
1523	34303	10714
1524	34328	10692
1525	34351	10670
1526	34375	10648
1527	34400	10626
1528	34425	10604
1529	34450	10582
1530	34461	10556
1531	34485	10534
1532	34509	10512
1533	34534	10490
1534	34559	10469
1535	34583	10447
1536	34607	10424
1537	34631	10403
1538	34655	10380
1539	34679	10358
1540	34704	10336
1541	34728	10314
1542	34752	10292
1543	34777	10270
1544	34801	10248
1545	34825	10226
1546	34849	10204
1547	34874	10182
1548	34898	10160
1549	34922	10138
1550	34946	10116
1551	34971	10094
1552	34996	10073
1553	35022	10051
1554	35047	10029
1555	35073	10008
1556	35099	9986
1557	35124	9964
1558	35149	9942
1559	35173	9920
1560	35197	9898
1561	35221	9876
1562	35245	9854
1563	35270	9832
